stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
MARS2242643,42643,Principale / Francis,-73.81757,45.530219,0,0,2,0
MARS2242644,42644,Principale / Laurin,-73.81462,45.530911,0,0,1,1
MARS22CP42645,42645,Principale / Carole,-73.82042,45.529356,0,0,1,0
MARS2242646,42646,Principale / Francis,-73.81766,45.530057,0,0,2,0
MARS2242647,42647,Principale / Maurice,-73.82008,45.52933,0,0,2,0
MARS2242648,42648,Principale / Corbeil,-73.82335,45.528385,0,0,2,0
MARS2242649,42649,Principale / Montée Champagne,-73.7965,45.537043,0,0,2,0
MARS2242650,42650,Place Publique,-73.82103,45.528995,0,0,1,1
MARS22CP42650,42650,Place Publique,-73.82103,45.528995,0,0,1,1
MARS2242651,42651,Principale / Noël,-73.82614,45.527163,0,0,2,0
MARS2242652,42652,Principale / Corbeil,-73.82333,45.528277,0,0,1,0
MARS2242653,42653,Principale / des Coquelicots,-73.8289,45.526786,0,0,2,0
MARS2242654,42654,Principale / Bastien,-73.83354,45.527373,0,0,2,0
MARS2242655,42655,Principale / Noël,-73.82648,45.526946,0,0,2,0
MARS2242656,42656,Principale / des Saules,-73.83092,45.526987,0,0,2,0
MARS2242657,42657,Principale / Bastien,-73.83067,45.526862,0,0,2,1
MARS2242658,42658,Principale / face au 1210,-73.83657,45.529931,0,0,2,0
MARS2242659,42659,Principale / face au 1270,-73.83836,45.531743,0,0,2,0
MARS2242660,42660,Principale / Des Jacinthes,-73.83417,45.527528,0,0,2,0
MARS2242661,42661,Principale / face au 1305,-73.84032,45.53369,0,0,2,0
MARS2242662,42662,Principale / Pierre,-73.80399,45.533586,0,0,2,0
MARS2242663,42663,Principale / face au 1202,-73.83652,45.529652,0,0,2,0
MARS2242664,42664,Principale / face au 1431,-73.8422,45.535574,0,0,2,0
MARS2242665,42665,Principale / face au 1270,-73.83841,45.531536,0,0,2,0
MARS2242666,42666,Principale / Face au 1350,-73.8405,45.533699,0,0,2,0
MARS2242667,42667,Principale / Dulude,-73.84608,45.539558,0,0,2,0
MARS2242668,42668,Principale / face au 1431,-73.84234,45.535493,0,0,2,0
MARS2242669,42669,Principale / Brady,-73.84889,45.542381,0,0,2,0
MARS2242670,42670,Principale / Dulude,-73.84629,45.53953,0,0,2,0
MARS2242671,42671,Principale / Saint-Antoine,-73.84937,45.543372,0,0,2,0
MARS2242672,42672,Principale / Brady,-73.84887,45.542124,0,0,2,0
MARS2242673,42673,Principale / Bigras,-73.79886,45.53566,0,0,2,0
MARS2242674,42674,Principale / Malraux,-73.80659,45.532913,0,0,2,0
MARS2242675,42675,Principale / Pierre,-73.8036,45.533623,0,0,2,1
MARS2242676,42676,Principale / Lise,-73.81112,45.531974,0,0,2,0
MARS2242677,42677,Principale / Malraux,-73.80711,45.532674,0,0,2,1
MARS2242678,42678,Principale / Duprat,-73.81305,45.531509,0,0,2,0
MARS22CP42679,42679,Provence / des Laurentides,-73.74629,45.621854,0,0,2,0
MARS2242680,42680,Provence / Pascal,-73.74589,45.627938,0,0,2,0
MARS2242681,42681,Provence / Pellan,-73.74724,45.629571,0,0,2,0
MARS2242682,42682,Provence / Pellan,-73.74754,45.62968,0,0,2,0
MARS2242683,42683,Provence / des Perron,-73.74901,45.631494,0,0,2,0
MARS2242684,42684,Provence / de Parme,-73.74884,45.631072,0,0,2,0
MARS22CP42685,42685,Provence / des Laurentides,-73.74636,45.621959,0,0,2,0
MARS2242686,42686,Provence / Préfontaine,-73.74468,45.622703,0,0,2,0
MARS2242687,42687,Provence / Préfontaine,-73.74459,45.622892,0,0,2,0
MARS2242688,42688,Provence / Péladeau,-73.74288,45.62475,0,0,2,0
MARS2242689,42689,Provence / Péladeau,-73.74308,45.624857,0,0,2,0
MARS2242690,42690,Provence / Papillon,-73.74435,45.626708,0,0,2,0
MARS2242691,42691,Provence / Papillon,-73.74463,45.626789,0,0,2,0
MARS2242692,42692,Provence / Pascal,-73.74558,45.627803,0,0,2,0
MARS2242693,42693,Prudentiel / des Abeilles,-73.73027,45.624623,0,0,2,0
MARS2242694,42694,Prudentiel / des Abeilles,-73.73041,45.62438,0,0,2,0
MARS2242695,42695,Prudentiel / de Belgrade,-73.73577,45.61789,0,0,2,0
MARS2242696,42696,Prudentiel / Trevet,-73.73558,45.618664,0,0,2,0
MARS2242697,42697,Prudentiel / Trevet,-73.73561,45.618916,0,0,2,0
MARS2242698,42698,Prudentiel / Casault,-73.73463,45.62007,0,0,2,0
MARS2242699,42699,Prudentiel / Casault,-73.73477,45.620223,0,0,2,0
MARS2242700,42700,Prudentiel / des Nymphes,-73.7331,45.622971,0,0,2,0
MARS2242701,42701,Prudentiel / des Nymphes,-73.73296,45.623187,0,0,2,0
MARS2242702,42702,du Relais / du Bord-de-l'Eau,-73.8556,45.523061,0,0,2,0
MARS2242703,42703,du Relais / du Bord-de-l'Eau,-73.85551,45.523224,0,0,2,0
MARS2242704,42704,René-Laennec / de Lausanne,-73.72338,45.616061,0,0,1,1
MARS2242705,42705,René-Laennec / de Toscane,-73.71095,45.601265,0,0,1,1
MARS2242706,42706,René-Laennec / des Grisons,-73.72348,45.614135,0,0,1,0
MARS2242707,42707,René-Laennec / de Lausanne,-73.72443,45.62054,0,0,1,0
